37
Glarea_loz  	0.2885	0.2902	0.2800	0.2792	0.2743	0.2737	0.2806	0.2772	0.3304	0.3265	0.2983	0.2946	0.1626	0.1642	0.0000	0.2308	0.3166	0.3037	0.2759	0.2756	0.3370	0.3302	0.3522	0.3296	0.3732	0.3775	0.3549	0.3609	0.3609	0.4306	0.4768	0.4586	0.6682	0.7352	0.8662	0.9042	0.8574
Blumeria_g 	0.3423	0.3441	0.3338	0.3330	0.3281	0.3276	0.3345	0.3311	0.3842	0.3803	0.3522	0.3485	0.2334	0.2350	0.2308	0.0000	0.3704	0.3575	0.3297	0.3295	0.3909	0.3841	0.4060	0.3835	0.4271	0.4314	0.4087	0.4147	0.4147	0.4845	0.5307	0.5125	0.7221	0.7890	0.9201	0.9581	0.9113
Xanthoria_  	0.3705	0.3722	0.3620	0.3612	0.3563	0.3558	0.3627	0.3593	0.4124	0.4085	0.3804	0.3766	0.3192	0.3208	0.3166	0.3704	0.0000	0.2185	0.2784	0.2782	0.3477	0.3410	0.3629	0.3403	0.3968	0.4011	0.3785	0.3845	0.3845	0.4542	0.5004	0.4822	0.6918	0.7588	0.8898	0.9278	0.8810
Cladonia_g  	0.3576	0.3594	0.3491	0.3483	0.3434	0.3429	0.3498	0.3464	0.3995	0.3956	0.3675	0.3637	0.3063	0.3079	0.3037	0.3575	0.2185	0.0000	0.2655	0.2653	0.3348	0.3281	0.3500	0.3274	0.3839	0.3882	0.3656	0.3716	0.3716	0.4413	0.4875	0.4693	0.6789	0.7459	0.8769	0.9149	0.8681
Symbiotaph  	0.3298	0.3315	0.3213	0.3205	0.3156	0.3150	0.3219	0.3185	0.3717	0.3678	0.3397	0.3359	0.2784	0.2800	0.2759	0.3297	0.2784	0.2655	0.0000	0.2185	0.3070	0.3002	0.3222	0.2996	0.3561	0.3604	0.3377	0.3438	0.3437	0.4135	0.4597	0.4415	0.6511	0.7181	0.8491	0.8871	0.8403
Xylona_hev  	0.3295	0.3313	0.3210	0.3203	0.3153	0.3148	0.3217	0.3183	0.3714	0.3676	0.3394	0.3357	0.2782	0.2798	0.2756	0.3295	0.2782	0.2653	0.2185	0.0000	0.3068	0.3000	0.3219	0.2994	0.3559	0.3602	0.3375	0.3435	0.3435	0.4132	0.4594	0.4412	0.6508	0.7178	0.8488	0.8868	0.8401
Trichophyt  	0.3909	0.3927	0.3824	0.3817	0.3767	0.3762	0.3831	0.3797	0.4328	0.4289	0.4008	0.3971	0.3396	0.3412	0.3370	0.3909	0.3477	0.3348	0.3070	0.3068	0.0000	0.1972	0.2617	0.2391	0.4173	0.4215	0.3989	0.4049	0.4049	0.4746	0.5208	0.5026	0.7122	0.7792	0.9102	0.9482	0.9014
Histoplasm	0.3842	0.3859	0.3756	0.3749	0.3699	0.3694	0.3763	0.3729	0.4261	0.4222	0.3940	0.3903	0.3328	0.3344	0.3302	0.3841	0.3410	0.3281	0.3002	0.3000	0.1972	0.0000	0.2549	0.2323	0.4105	0.4148	0.3921	0.3981	0.3981	0.4679	0.5141	0.4959	0.7055	0.7724	0.9035	0.9414	0.8947
Penicilliu 	0.4061	0.4078	0.3976	0.3968	0.3919	0.3913	0.3982	0.3948	0.4480	0.4441	0.4160	0.4122	0.3547	0.3563	0.3522	0.4060	0.3629	0.3500	0.3222	0.3219	0.2617	0.2549	0.0000	0.1714	0.4324	0.4367	0.4140	0.4201	0.4200	0.4898	0.5360	0.5178	0.7274	0.7944	0.9254	0.9634	0.9166
Aspergillu  	0.3835	0.3853	0.3750	0.3742	0.3693	0.3688	0.3757	0.3723	0.4254	0.4215	0.3934	0.3897	0.3322	0.3338	0.3296	0.3835	0.3403	0.3274	0.2996	0.2994	0.2391	0.2323	0.1714	0.0000	0.4099	0.4141	0.3915	0.3975	0.3975	0.4672	0.5134	0.4952	0.7048	0.7718	0.9028	0.9408	0.8940
